Lat GPS (deg),Long GPS (deg),Accelerometer Y (rad/s^2),Gyroscope X (rad/s),Gyroscope Z (rad/s),Steering Angle encoder(rad),Speed VESC (rad/s),Time (ms),GNSS flag,Input,Reset Traj,State Estimate X (m),State Estimate Y (m),State Estimate Psi (rad),State Estimate Roll (rad),State Estimate Rollrate (rad/s),State Estimate Delta (rad),State Estimate Velocity (m/s),Steerrate input (rad/s),Rollref,Closestpoint,Error1,Error2,Dpsiref contribution,Lateral contribution,Heading contribution,State Estimator Iterations,Trajectory Iterations,steering flag,GPS velocity (m/s),E2 limit,E1 limit,Gyroscope Y (rad/s),Speed reference (rad/s),PI Current (A),Ki,Kp
1.0068391248,0.2090858571,-0.8049785400,-0.0068533022,0.0004988522,-0.0510579563,0,2153976,4,0,0,-4262.089206,-1535.724889,-1.275371,-0.0008,-0.00686,-0.050994,0.000000,0,-0,0,-0.000095,0,0,0.000005,-0,45,45,0,0.039095,0,0,0.00325,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.8037817200,0.0000189318,0.0003461359,-0.0510579563,0,2153986,5,0,0,-4234.25872,-1527.255223,-1.276386,-0.000792,0.000012,-0.050992,0.000000,0,-0,0,-0.000141,0,0,0.000008,-0,46,46,0,0.069959,0,0,-0.002095,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.8013880800,-0.0044098412,0.0006515686,-0.0510579563,0,2153996,5,0,0,-4206.448333,-1518.822508,-1.277401,-0.000828,-0.004417,-0.050991,0.000000,0,-0,0,-0.000217,0,0,0.000012,-0,47,47,0,0.069959,0,0,0.001112,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.7870262400,0.0079601799,-0.0016391761,-0.0510579563,0,2154006,5,0,0,-4178.658112,-1510.426698,-1.278417,-0.000739,0.007953,-0.050991,0.000000,0,0,0,0.000103,0,0,-0.000006,-0,48,48,0,0.069959,0,0,-0.010189,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.7762548600,0.0070438820,0.0000407033,-0.0510579563,0,2154017,5,0,0,-4150.888123,-1502.067756,-1.279432,-0.00066,0.007038,-0.050983,0.000000,0,-0,0,-0.000167,0,0,0.000009,-0,49,49,0,0.069959,0,0,-0.001179,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.7762548600,0.0070438820,0.0000407033,-0.0510579563,0,2154026,5,0,0,-4123.138429,-1493.745633,-1.280447,-0.00058,0.007037,-0.050984,0.000000,0,-0,0,-0.000047,0,0,0.000003,-0,50,50,0,0.069959,0,0,-0.001179,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.7774516800,0.0116253713,0.0020260153,-0.0510579563,0,2154036,5,0,0,-4095.409093,-1485.460284,-1.281462,-0.000455,0.011619,-0.050978,0.000000,0,0,0,0.000013,0,0,-0.000001,-0,51,51,0,0.069959,0,0,-0.002553,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.7535152800,0.0024623927,-0.0034717718,-0.0510579563,0,2154046,5,0,0,-4067.700182,-1477.211662,-1.282477,-0.000421,0.002455,-0.050988,0.000000,0,-0,0,-0.00008,0,0,0.000004,-0,52,52,0,0.069959,0,0,0.005236,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.7594993800,-0.0018136639,0.0000407033,-0.0510579563,0,2154056,5,0,0,-4040.011762,-1468.999733,-1.283492,-0.00043,-0.00182,-0.050978,0.000000,0,0,0,0.000085,0,0,-0.000005,-0,53,53,0,0.069959,0,0,-0.002858,0,0,0.5,1.4
1.0068391219,0.2090858513,-0.7606962000,-0.0001337845,0.0004988522,-0.0510579563,0,2154066,5,0,0,-4012.343894,-1460.824446,-1.284507,-0.000422,-0.000141,-0.050976,0.000000,0,0,0,0.000085,0,0,-0.000005,-0,54,54,0,0.069959,0,0,-0.004538,0,0,0.5,1.4
